LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
OECD,GDP,TOT,MLN_USD,A,2017,58519606.88,
OECD,GDP,TOT,MLN_USD,A,2018,61175200.615,E
OECD,GDP,TOT,MLN_USD,A,2019,63174052.823,E
OECD,GDP,TOT,MLN_USD,A,2020,60959416.008,E
OECDE,GDP,TOT,MLN_USD,A,2017,24413633.491,
OECDE,GDP,TOT,MLN_USD,A,2018,25470113.156,P
OECDE,GDP,TOT,MLN_USD,A,2019,26351758.283,P
OECDE,GDP,TOT,MLN_USD,A,2020,25147002.168,E
LVA,GDP,TOT,MLN_USD,A,2017,55645.386,
LVA,GDP,TOT,MLN_USD,A,2018,59355.896,
LVA,GDP,TOT,MLN_USD,A,2019,61247.544,
LVA,GDP,TOT,MLN_USD,A,2020,59629.992,
BRA,GDP,TOT,MLN_USD,A,2017,3018705.989,
BRA,GDP,TOT,MLN_USD,A,2018,3184211.037,
LTU,GDP,TOT,MLN_USD,A,2017,95492.278,
LTU,GDP,TOT,MLN_USD,A,2018,101826.049,
LTU,GDP,TOT,MLN_USD,A,2019,108314.8,
LTU,GDP,TOT,MLN_USD,A,2020,108673.407,
SAU,GDP,TOT,MLN_USD,A,2017,1565891.922,
SAU,GDP,TOT,MLN_USD,A,2018,1643081.118,
SAU,GDP,TOT,MLN_USD,A,2019,1680540.366,
EA19,GDP,TOT,MLN_USD,A,2017,15556208.7,
EA19,GDP,TOT,MLN_USD,A,2018,16250887.478,
EA19,GDP,TOT,MLN_USD,A,2019,16868431.453,
EA19,GDP,TOT,MLN_USD,A,2020,15924676.268,
ARG,GDP,TOT,MLN_USD,A,2017,1039330.592,
ARG,GDP,TOT,MLN_USD,A,2018,1037336.719,
ARG,GDP,TOT,MLN_USD,A,2019,1035400.865,
CRI,GDP,TOT,MLN_USD,A,2017,100716.907,
CRI,GDP,TOT,MLN_USD,A,2018,104960.285,E
CRI,GDP,TOT,MLN_USD,A,2019,109998.851,E
BGR,GDP,TOT,MLN_USD,A,2017,151335.246,
BGR,GDP,TOT,MLN_USD,A,2018,160951.517,
BGR,GDP,TOT,MLN_USD,A,2019,171459.528,
HRV,GDP,TOT,MLN_USD,A,2017,110537.908,
HRV,GDP,TOT,MLN_USD,A,2018,116725.695,
HRV,GDP,TOT,MLN_USD,A,2019,122956.837,P
CYP,GDP,TOT,MLN_USD,A,2017,32705.482,
CYP,GDP,TOT,MLN_USD,A,2018,35217.357,
CYP,GDP,TOT,MLN_USD,A,2019,36614.189,P
MLT,GDP,TOT,MLN_USD,A,2017,19957.387,
MLT,GDP,TOT,MLN_USD,A,2018,21557.377,
MLT,GDP,TOT,MLN_USD,A,2019,23573.484,
ROU,GDP,TOT,MLN_USD,A,2017,531675.182,
ROU,GDP,TOT,MLN_USD,A,2018,569588.089,
ROU,GDP,TOT,MLN_USD,A,2019,625706.833,P
MKD,GDP,TOT,MLN_USD,A,2017,32583.022,
MKD,GDP,TOT,MLN_USD,A,2018,34726.373,
MKD,GDP,TOT,MLN_USD,A,2019,36634.491,P
ZMB,GDP,TOT,MLN_USD,A,2017,58735.191,
ZMB,GDP,TOT,MLN_USD,A,2018,63115.611,
HKG,GDP,TOT,MLN_USD,A,2017,442387.688,
HKG,GDP,TOT,MLN_USD,A,2018,466106.548,
MDG,GDP,TOT,MLN_USD,A,2017,40952.508,E
MDG,GDP,TOT,MLN_USD,A,2018,43476.259,E
MAR,GDP,TOT,MLN_USD,A,2017,264212.938,
MAR,GDP,TOT,MLN_USD,A,2018,279235.646,
SGP,GDP,TOT,MLN_USD,A,2017,532832.748,
SGP,GDP,TOT,MLN_USD,A,2018,571120.252,
